name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Ho Chi Minh City,2025-09-01,89.5,76.9,82.1,104.9,76.9,88.3,77.8,87.6,0.578,100,83.33,rain,0,0,22.8,18.3,250.8,1006.3,70,6.6,170,14.5,6,60,2025-09-01T05:43:31,2025-09-01T18:02:55,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VVTS,remote"
Ho Chi Minh City,2025-09-02,89.5,76.9,81.2,104.9,76.9,86.9,77.8,90,0.407,100,58.33,rain,0,0,20.8,11.4,253.7,1007.2,68,6.3,144,12.4,5,30,2025-09-02T05:43:29,2025-09-02T18:02:19,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VVTS,remote"
Ho Chi Minh City,2025-09-03,89.5,76.9,81.9,102.3,76.9,88,77.1,86.8,0.41,100,62.5,rain,0,0,16.8,12.8,291.1,1007.2,64.8,6.3,177.1,15.3,6,30,2025-09-03T05:43:27,2025-09-03T18:01:42,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VVTS,remote"
Ho Chi Minh City,2025-09-04,91.3,78.7,83.5,107.5,78.7,91.4,77.7,83.7,0.573,100,83.33,rain,0,0,17.9,9.2,246.1,1006.7,68.7,6,212.8,18.4,8,60,2025-09-04T05:43:24,2025-09-04T18:01:05,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VVTS,remote"
Ho Chi Minh City,2025-09-05,93.1,78.7,84.6,104.9,78.7,94.1,77.6,80.9,0.667,100,66.67,rain,0,0,18.3,13.9,242.6,1006.8,68.9,6.2,207.5,18,7,60,2025-09-05T05:43:21,2025-09-05T18:00:28,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,VVTS
Ho Chi Minh City,2025-09-06,91.3,76.9,84.1,107.5,76.9,94.6,78.3,83.3,0.198,100,45.83,rain,0,0,26.4,13.9,243.6,1007.4,66.3,6.1,167.8,14.5,9,60,2025-09-06T05:43:19,2025-09-06T17:59:51,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,VVTS
Ho Chi Minh City,2025-09-07,87.7,78.7,81,102.1,78.7,86.6,77.7,90.1,0.602,100,45.83,rain,0,0,18.6,19.7,230.1,1008.5,70.1,6.1,222,19.2,9,30,2025-09-07T05:43:16,2025-09-07T17:59:13,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,VVTS
Ho Chi Minh City,2025-09-08,85.9,75.1,78.3,99.1,75.1,80.3,76.1,93.5,0.28,100,54.17,rain,0,0,23,10.3,223.5,1009.6,74.4,5.5,210.9,18.2,9,30,2025-09-08T05:43:13,2025-09-08T17:58:35,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,VVTS
Ho Chi Minh City,2025-09-09,89.5,75.1,79.5,102.1,75.1,82.2,76.2,90.7,0.288,100,58.33,rain,0,0,11,12.8,197.2,1010.3,73.5,5.6,222.6,19.2,9,30,2025-09-09T05:43:09,2025-09-09T17:57:57,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,VVTS
Ho Chi Minh City,2025-09-10,91.3,76.9,83.1,104.8,76.9,89.7,76.8,82.9,0.087,100,25,rain,0,0,7.8,9.2,305.4,1009.6,65.9,6,295.9,25.6,10,30,2025-09-10T05:43:06,2025-09-10T17:57:18,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,VVTS
Ho Chi Minh City,2025-09-11,93.1,75.1,82.3,107.5,75.1,88,77.4,87.1,0.72,100,58.33,rain,0,0,16.6,10.3,269.3,1008.5,72.6,5.4,250.4,21.6,10,60,2025-09-11T05:43:03,2025-09-11T17:56:40,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,VVTS
Ho Chi Minh City,2025-09-12,89.5,75.1,80.7,100,75.1,85.3,76.2,87.1,0.189,100,37.5,rain,0,0,15.7,15,119.4,1008.8,55.5,6.5,223.8,19.2,9,30,2025-09-12T05:42:59,2025-09-12T17:56:01,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VVTS,remote"
Ho Chi Minh City,2025-09-13,92,76.9,82,100.3,76.9,85.5,74.2,78.7,0.702,93.5,54.17,rain,0,0,18.1,8.9,130.9,1009.2,76,12.2,235,20.3,9,30,2025-09-13T05:42:55,2025-09-13T17:55:22,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,VVTS
